fever,cough,headache,fatigue,body_pain,shortness_of_breath,diarrhea,runny_nose,sore_throat,loss_of_taste_or_smell,nausea,vomiting,chest_pain,disease
"1","1","0","1","0","0","0","1","1","0","0","0","0","Flu, you should go for Flu Test, and consult a General Practitioner. Preventive measures include rest and drinking fluids."
"1","0","1","1","1","0","0","0","0","0","0","0","0","Migraine, you should consider a CT Scan or Blood Test, and consult a Neurologist. Preventive measures include regular sleep and stress management."
"0","1","1","1","0","1","0","1","1","0","0","0","0","Cold, you should have a Rapid Influenza Diagnostic Test, and consult a Primary Care Physician. Stay hydrated and rest."
"1","1","1","1","1","1","0","1","1","0","0","0","1","Pneumonia, you should get a Chest X-ray and Blood Test, and consult a Pulmonologist. Vaccination and avoiding smoke are recommended."
"0","0","1","0","1","0","0","0","0","0","0","0","0","Migraine, consider an MRI Scan or Blood Test, and see a Neurologist. Avoid triggers and ensure regular sleep."
"1","1","0","0","1","0","1","1","1","0","0","0","0","Influenza, consider a Flu Test and Chest X-ray, and see a Family Doctor. Get vaccinated and ensure adequate rest."
"0","1","1","1","0","1","0","1","1","0","0","0","0","Bronchitis, you should have a Chest X-ray and Sputum Test, and consult a Pulmonologist. Quit smoking and use a humidifier."
"1","0","0","0","1","0","0","0","1","0","0","0","1","Dengue, get a Dengue NS1 Antigen Test and see an Infectious Disease Specialist. Avoid mosquito bites."
"1","0","1","1","1","1","0","1","1","1","1","1","1","COVID-19, you should get a PCR Test and Antigen Test, and consult an Infectious Disease Specialist. Vaccination and wearing masks are recommended."
"1","0","0","1","0","1","0","1","1","0","0","0","1","Asthma, you should consider a Lung Function Test, and consult a Pulmonologist. Avoid allergens and use inhalers."
"0","0","0","1","0","0","1","0","0","0","1","1","0","Stomach Flu, you should get a Stool Test, and consult a Gastroenterologist. Stay hydrated and avoid dairy."
"1","0","0","1","1","0","0","0","0","0","0","0","0","Chickenpox, you should have a PCR Test or Blood Test, and see a Pediatrician. Vaccination is recommended."
"0","0","0","1","1","0","0","0","0","0","1","1","0","Food Poisoning, consider a Stool Culture, and consult a Gastroenterologist. Stay hydrated and rest."
"1","0","0","1","0","0","0","0","0","0","0","0","0","Malaria, you should have a Blood Test and see an Infectious Disease Specialist. Use mosquito nets."
"0","0","1","1","0","0","0","0","0","0","0","0","1","Heart Attack, you should get an ECG and Blood Test, and consult a Cardiologist. Regular checkups and a healthy diet are important."
"1","1","0","1","0","1","0","1","1","0","0","0","1","Tuberculosis, you should have a Chest X-ray and Sputum Test, and see a Pulmonologist. Vaccination and avoiding crowded places are recommended."
"1","1","0","0","1","0","0","1","1","0","0","0","0","Whooping Cough, you should get a PCR Test, and consult a Pediatrician. Vaccination is important."
"1","1","0","0","1","0","0","1","0","0","0","0","1","Lung Cancer, consider a Chest X-ray and CT Scan, and see an Oncologist. Regular checkups and avoiding smoking are essential."
"1","0","0","1","0","0","0","0","0","0","0","0","0","Typhoid Fever, you should have a Blood Culture and consult an Infectious Disease Specialist. Vaccination and hygiene are crucial."
"0","1","1","0","0","0","0","1","0","0","0","0","0","Sinus Infection, consider a Nasal Endoscopy, and see an ENT Specialist. Steam inhalation and staying hydrated are beneficial."
"0","1","1","0","1","1","1","1","1","0","1","1","1","Cholera, you should get a Stool Culture and Blood Test, and consult an Infectious Disease Specialist. Vaccination and hygiene are essential."
"0","1","0","1","0","1","1","1","0","1","1","0","0","Meningitis, you should have a Lumbar Puncture, and see a Neurologist. Vaccination and good hygiene are important."
"0","0","0","1","1","1","1","1","1","0","1","0","1","Measles, you should have a Blood Test, and consult a Pediatrician. Vaccination and good hygiene are crucial."
"1","1","0","0","0","1","1","0","1","1","0","1","1","Lupus, consider Blood Tests and Biopsy, and see a Rheumatologist. Regular checkups and medication are important."
"1","1","1","1","1","0","0","0","1","0","0","1","0","Hepatitis A, you should get a Blood Test, and consult a Gastroenterologist. Vaccination and good hygiene are crucial."
"1","0","1","0","1","0","0","1","1","0","0","1","0","Hepatitis B, you should have a Blood Test, and see a Gastroenterologist. Vaccination and avoiding unprotected sex are vital."
"1","0","0","0","1","0","0","1","0","1","0","1","1","Hepatitis C, you should consider a Blood Test, and consult a Gastroenterologist. Vaccination and avoiding sharing needles are important."
"1","0","0","0","1","1","0","0","0","0","1","0","0","Scarlet Fever, consider a Throat Culture, and see a Pediatrician. Vaccination and good hygiene are essential."
"1","1","0","1","0","1","1","0","1","0","0","1","0","Typhus, you should have a Blood Test, and consult an Infectious Disease Specialist. Good hygiene and regular checkups are recommended."
"0","0","0","1","0","0","1","0","0","0","0","1","1","Yellow Fever, consider a Blood Test, and see an Infectious Disease Specialist. Vaccination and avoiding mosquito bites are crucial."
"0","0","1","0","0","1","1","0","1","1","1","0","1","Zika Virus, you should have a Blood Test, and consult an Infectious Disease Specialist. Avoid mosquito bites and maintain good hygiene."
"1","0","1","0","1","1","1","0","1","0","1","0","0","Mumps, consider a Blood Test, and see a Pediatrician. Vaccination is essential."
"1","0","1","1","1","1","0","0","0","0","0","0","0","Rubella, you should have a Blood Test, and consult a Pediatrician. Vaccination is important."
"0","0","0","0","0","0","1","1","0","0","0","1","0","Ebola, you should consider a Blood Test, and consult an Infectious Disease Specialist. Avoid contact and wear protective gear."
"1","1","0","1","0","1","0","1","1","1","1","1","1","Rabies, you should have a Rabies Vaccination, and consult a Veterinarian. Vaccination and avoiding animal bites are crucial."
"0","0","1","0","1","0","0","1","0","1","1","1","1","Polio, you should get a Blood Test, and consult a Pediatrician. Vaccination and good hygiene are vital."
"1","0","1","1","1","0","0","0","1","1","0","0","0","Leprosy, consider a Skin Biopsy and Blood Test, and see a Dermatologist. Avoid contact and maintain good hygiene."
"0","1","0","1","1","0","0","0","0","1","0","0","0","Anthrax, you should have a Blood Test and Chest X-ray, and consult an Infectious Disease Specialist. Avoid contact and maintain hygiene."
"0","1","0","1","0","0","0","0","0","0","0","1","0","Smallpox, you should get Vaccination, and consult a Pediatrician. Vaccination and avoiding contact are crucial."
"0","1","1","0","1","1","1","0","1","0","0","0","1","Chikungunya, you should have a Blood Test, and consult an Infectious Disease Specialist. Avoid mosquito bites and maintain good hygiene."
"1","0","1","1","1","0","1","0","1","0","1","1","0","Plague, you should get a Blood Test and PCR Test, and consult an Infectious Disease Specialist. Avoid contact and maintain hygiene."
"0","0","1","1","1","1","0","0","0","0","1","0","0","Tetanus, you should have a Wound Culture and Blood Test, and consult an Emergency Room. Vaccination and good hygiene are important."
"0","0","1","1","1","1","1","1","0","0","0","0","1","Diphtheria, you should get a Throat Culture, and see a Pediatrician. Vaccination and good hygiene are essential."
"1","1","0","0","1","0","0","1","1","1","0","0","1","Cholera, you should consider a Stool Culture and Blood Test, and consult an Infectious Disease Specialist. Vaccination and hygiene are crucial."
"0","0","1","1","0","1","0","0","1","0","0","0","1","Hantavirus, you should get a Blood Test, and consult an Infectious Disease Specialist. Avoid contact with rodents."
"1","1","1","0","1","1","0","0","0","1","1","0","0","West Nile Virus, you should have a Blood Test, and consult an Infectious Disease Specialist. Avoid mosquito bites and maintain hygiene."
"0","1","0","0","0","0","0","1","0","0","1","0","0","Lyme Disease, you should get a Blood Test, and consult an Infectious Disease Specialist. Avoid ticks and wear protective clothing."
"0","1","0","1","1","0","1","0","0","0","1","1","1","Legionnaires' Disease, you should have a Chest X-ray and Sputum Test, and consult a Pulmonologist. Avoid water sources with bacteria."
"1","1","0","0","1","0","1","0","0","0","1","1","0","Shingles, you should have a Blood Test, and see a Dermatologist. Vaccination and pain management are recommended."
"1","0","0","0","1","0","1","1","0","1","0","0","1","Norovirus, you should consider a Stool Test, and consult a Gastroenterologist. Stay hydrated and maintain good hygiene."
"1","0","0","0","1","0","0","1","0","0","0","0","1","Cryptosporidiosis, you should have a Stool Test, and consult a Gastroenterologist. Avoid contaminated water."
"0","1","1","1","0","0","0","0","1","0","0","1","1","Giardiasis, you should get a Stool Test, and consult a Gastroenterologist. Avoid contaminated water."
"0","1","0","0","0","1","0","0","1","1","0","0","1","Amoebiasis, you should consider a Stool Test, and see a Gastroenterologist. Avoid contaminated water."
"0","0","0","0","1","1","1","0","1","0","0","0","0","Celiac Disease, you should have a Blood Test, and consult a Gastroenterologist. Follow a gluten-free diet."
"1","0","0","1","1","0","0","1","1","0","0","1","0","Crohn's Disease, you should get a Colonoscopy, and see a Gastroenterologist. Follow an anti-inflammatory diet."
"1","0","0","1","0","0","1","0","0","1","0","1","1","Multiple Sclerosis, you should consider an MRI Scan and Blood Test, and see a Neurologist. Medication and physical therapy are important."
"0","1","1","0","1","0","1","1","0","1","0","1","1","Parkinson's Disease, you should have an MRI Scan and Blood Test, and consult a Neurologist. Medication and physical therapy are essential."
"1","0","0","1","0","0","0","0","1","0","0","1","1","Alzheimer's Disease, consider Cognitive Tests, and consult a Neurologist. Mental exercises and a healthy diet are recommended."
"1","0","1","1","1","1","1","0","1","0","0","1","1","Hemophilia, you should have Blood Tests, and see a Hematologist. Medication and avoiding injuries are crucial."
"0","0","1","1","0","0","0","0","1","0","1","0","0","Sickle Cell Anemia, consider Blood Tests, and consult a Hematologist. Hydration and regular checkups are important."
